,Título,Título_original,Genero,Idioma,Actores,Colección/Saga,Duración(min),Lanzamiento,Estado,Origen,Nota,Votos,Ingresos,Presupuesto,Beneficios,id
6755,Manos de piedra,Hands of Stone,['Drama'],"['English', 'Spanish']","['Edgar Ramírez', 'Robert De Niro', 'Usher', 'Rubén Blades', 'Ana de Armas', 'Óscar Jaenada', 'John Turturro', 'Ellen Barkin', 'Jurnee Smollett', 'Yancey Arias', 'Edgar Ramírez', 'Robert De Niro', 'Usher', 'Rubén Blades', 'Ana de Armas', 'Óscar Jaenada', 'John Turturro', 'Ellen Barkin', 'Jurnee Smollett', 'Yancey Arias']",False,105,2016-08-26,Ya en cines,['US'],6.517,382,5000000,20000000,-15000000,184341
6756,La trama,Family Plot,"['Comedia', 'Crimen', 'Suspense']",['English'],"['Barbara Harris', 'Bruce Dern', 'Karen Black', 'William Devane', 'Ed Lauter', 'Cathleen Nesbitt', 'Katherine Helmond', 'Warren J. Kemmerling', 'Edith Atwater', 'William Prince']",False,120,1976-04-09,Ya en cines,['US'],6.739,425,7900000,2000000,5900000,5854
6757,El sustituto 2,The Substitute 2: School's Out,"['Acción', 'Misterio', 'Suspense']",['English'],"['Treat Williams', 'BD Wong', 'Angel David', 'Michael Michele', 'Lawrence Gilliard Jr.', 'Susan May Pratt', 'Edoardo Ballerini', 'Daryl Edwards', 'Paul Lazar', 'Eugene Byrd']",True,90,1998-08-01,Ya en cines,['US'],5.83,88,0,0,0,29812
6758,One Piece: Strong World,ワンピース フィルム ストロングワールド,"['Animación', 'Fantasía', 'Aventura']",['Japanese'],"['Mayumi Tanaka', 'Kazuya Nakai', 'Akemi Okamura', 'Kappei Yamaguchi', 'Hiroaki Hirata', 'Ikue Otani', 'Yuriko Yamaguchi', 'Kazuki Yao', 'Cho', 'Naoto Takenaka']",True,114,2009-12-12,Ya en cines,['JP'],7.46,334,53000000,0,53000000,41498
6759,Fender Bender,Fender Bender,"['Terror', 'Suspense']",['English'],"['Makenzie Vega', 'Bill Sage', 'Dre Davis', 'Kelsey Leos Montoya', 'Harrison Sim', 'Lora Martinez-Cunningham', 'Steven Michael Quezada', 'Cassidy Freeman']",False,91,2016-05-23,Ya en cines,['US'],5.1,88,0,0,0,397278
6760,Yamakasi,Yamakasi,"['Acción', 'Crimen', 'Drama']",['French'],"['Châu Belle Dinh', 'Williams Belle', 'Malik Diouf', 'Yann Hnautra', ""Guylain N'Guba-Boyeke"", 'Charles Perrière', 'Laurent Piemontesi', 'Maher Kamoun', 'Bruno Flender', 'Amel Djemel']",True,93,2001-04-04,Ya en cines,['FR'],6.014,536,1297401,15000000,-13702599,6935
6761,Robots asesinos,Chopping Mall,"['Terror', 'Ciencia ficción']",['English'],"['Karrie Emerson', 'Julie Corman', 'Kelli Maroney', 'Toni Naples', ""Tony O'Dell"", 'Barbara Crampton', 'Suzee Slater', 'Russell Todd', 'Paul Bartel', 'John Terlesky']",False,77,1986-03-21,Ya en cines,['US'],5.856,336,0,800000,-800000,28941
6762,Sex Appeal,Sex Appeal,"['Comedia', 'Romance']",['English'],"['Mika Abdalla', 'Jake Short', 'Paris Jackson', 'Margaret Cho', 'Fortune Feimster', 'Rebecca Henderson', 'Mason Versaw', 'Artemis Pebdani', 'Tate Hanyok', 'Hayden Szeto']",False,90,2022-01-14,Ya en cines,['US'],6.663,261,0,0,0,803104
6763,La prueba,The Recruit,"['Acción', 'Suspense']","['English', 'Persian', 'Russian']","['Colin Farrell', 'Al Pacino', 'Bridget Moynahan', 'Gabriel Macht', 'Karl Pruner', 'Eugene Lipinski', 'Mike Realba', 'Domenico Fiore', 'Ron Lea', 'Jeanie Calleja']",False,105,2003-01-31,Ya en cines,['US'],6.355,1657,101200000,46000000,55200000,1647
6764,Pokémon:  Kyurem vs. el espadachín místico,劇場版ポケットモンスター ベストウイッシュ キュレムVS聖剣士 ケルディオ,"['Familia', 'Animación', 'Acción', 'Aventura', 'Fantasía', 'Ciencia ficción']",['Japanese'],"['Rica Matsumoto', 'Ikue Otani', 'Aoi Yuki', 'Minami Tsuda', 'Mamoru Miyano', 'Chika Fujimura', 'Kenta Miyake', 'Unsho Ishizuka', 'Misato Fukuen', 'Wasabi Mizuta']",True,92,2012-07-13,Ya en cines,['JP'],6.4,157,44057737,0,44057737,150213
